Site ID,Date Collected,Pellet Length,Pellet Dry Mass (g),Pellet ID,Taxon,Abbreviated Taxon,Number of Individuals,Vert or Invert
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,Coleoptera,Coleoptera,24,Invertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,Coleoptera,Coleoptera,1,Invertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,Coleoptera,Coleoptera,56,Invertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,Coleoptera,Coleoptera,25,Invertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,Coleoptera,Coleoptera,20,Invertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,Coleoptera,Coleoptera,12,Invertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,Coleoptera,Coleoptera,9,Invertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,Coleoptera,Coleoptera,2,Invertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,Coleoptera,Coleoptera,1,Invertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,Coleoptera,Coleoptera,12,Invertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,Coleoptera,Coleoptera,1,Invertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,Coleoptera,Coleoptera,56,Invertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,Coleoptera,Coleoptera,7,Invertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,Coleoptera,Coleoptera,23,Invertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,Coleoptera,Coleoptera,3,Invertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,Coleoptera,Coleoptera,0,Invertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,Coleoptera,Coleoptera,2,Invertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,Coleoptera,Coleoptera,1,Invertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,Coleoptera,Coleoptera,4,Invertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,Coleoptera,Coleoptera,0,Invertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,Coleoptera,Coleoptera,3,Invertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,Coleoptera,Coleoptera,1,Invertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,Coleoptera,Coleoptera,3,Invertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,Coleoptera,Coleoptera,6,Invertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,Coleoptera,Coleoptera,0,Invertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,Coleoptera,Coleoptera,0,Invertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,Coleoptera,Coleoptera,14,Invertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,Coleoptera,Coleoptera,54,Invertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,Coleoptera,Coleoptera,31,Invertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Forficula auricularia Linnaeus, 1758",Forficula,23,Invertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Forficula auricularia Linnaeus, 1758",Forficula,78,Invertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Forficula auricularia Linnaeus, 1758",Forficula,10,Invertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Forficula auricularia Linnaeus, 1758",Forficula,18,Invertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Forficula auricularia Linnaeus, 1758",Forficula,25,Invertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Forficula auricularia Linnaeus, 1758",Forficula,5,Invertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Forficula auricularia Linnaeus, 1758",Forficula,39,Invertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Forficula auricularia Linnaeus, 1758",Forficula,39,Invertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Forficula auricularia Linnaeus, 1758",Forficula,36,Invertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Forficula auricularia Linnaeus, 1758",Forficula,6,Invertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Forficula auricularia Linnaeus, 1758",Forficula,10,Invertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Forficula auricularia Linnaeus, 1758",Forficula,36,Invertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Forficula auricularia Linnaeus, 1758",Forficula,41,Invertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Forficula auricularia Linnaeus, 1758",Forficula,6,Invertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Forficula auricularia Linnaeus, 1758",Forficula,0,Invertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Forficula auricularia Linnaeus, 1758",Forficula,11,Invertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Forficula auricularia Linnaeus, 1758",Forficula,12,Invertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Forficula auricularia Linnaeus, 1758",Forficula,8,Invertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Forficula auricularia Linnaeus, 1758",Forficula,25,Invertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Forficula auricularia Linnaeus, 1758",Forficula,72,Invertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Forficula auricularia Linnaeus, 1758",Forficula,18,Invertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Forficula auricularia Linnaeus, 1758",Forficula,13,Invertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Forficula auricularia Linnaeus, 1758",Forficula,17,Invertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Forficula auricularia Linnaeus, 1758",Forficula,29,Invertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Forficula auricularia Linnaeus, 1758",Forficula,22,Invertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Forficula auricularia Linnaeus, 1758",Forficula,14,Invertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Forficula auricularia Linnaeus, 1758",Forficula,12,Invertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Forficula auricularia Linnaeus, 1758",Forficula,11,Invertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Forficula auricularia Linnaeus, 1758",Forficula,28,Invertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Mus musculus Linnaeus, 1758",Mus,2,Vertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Mus musculus Linnaeus, 1758",Mus,1,Vertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Mus musculus Linnaeus, 1758",Mus,2,Vertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Peromyscus sp. Gloger, 1841 (unconfirmed)",Peromyscus,0,Vertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,3,Vertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
